"n","method","component","mu_true","nsim","mean_estimate","bias","mcse_bias","coverage","mcse_coverage"
100,"Gibbs","mu_1",0,500,0.0445896259482299,0.0445896259482299,0.0174542637436211,0.936,0.0109456840809517
100,"Gibbs","mu_2",5,500,5.09035012987005,0.0903501298700493,0.030487213850706,0.914,0.0125382614424808
100,"Gibbs","mu_3",10,500,10.2637193227393,0.263719322739315,0.0687705271957353,0.918,0.0122699633251286
100,"Gibbs","mu_4",20,500,20.0045645303165,0.00456453031647215,0.00985850606221308,0.928,0.0115599307956406
100,"VI","mu_1",0,500,0.0558401373892476,0.0558401373892476,0.0193622020089242,0.958,0.00897061870775924
100,"VI","mu_2",5,500,2.12278025099732,-2.87721974900268,0.103951118160351,0.522,0.0223390241505756
100,"VI","mu_3",10,500,7.96242132842773,-2.03757867157227,0.13127007839704,0.334,0.0210923682880799
100,"VI","mu_4",20,500,19.4756097141891,-0.524390285810873,0.0691472120321615,0.824,0.017030795636141
1000,"Gibbs","mu_1",0,500,0.0321793125639168,0.0321793125639168,0.0110756160975208,0.912,0.0126693330526907
1000,"Gibbs","mu_2",5,500,5.11074177423796,0.110741774237958,0.0283645626667435,0.926,0.0117067501895274
1000,"Gibbs","mu_3",10,500,10.3298510787094,0.329851078709421,0.0791345644651832,0.914,0.0125382614424808
1000,"Gibbs","mu_4",20,500,20.011372325902,0.0113723259019611,0.00321372181111893,0.952,0.00955991631762538
1000,"VI","mu_1",0,500,0.0638643756992612,0.0638643756992612,0.020014469939448,0.946,0.0101078187557949
1000,"VI","mu_2",5,500,2.51033074911717,-2.48966925088283,0.102558883800482,0.53,0.0223203942617508
1000,"VI","mu_3",10,500,8.34951039748427,-1.65048960251573,0.103691213677622,0.306,0.0206089301032344
1000,"VI","mu_4",20,500,19.9549891415837,-0.0450108584162794,0.0195905568366154,0.912,0.0126693330526907
10000,"Gibbs","mu_1",0,500,0.0360076341531363,0.0360076341531363,0.0102372860084683,0.922,0.0119929979571415
10000,"Gibbs","mu_2",5,500,5.09339814164103,0.0933981416410283,0.0258143362667627,0.928,0.0115599307956406
10000,"Gibbs","mu_3",10,500,10.258640927692,0.258640927691983,0.0704747248616204,0.934,0.0111035129576184
10000,"Gibbs","mu_4",20,500,20.0016747523536,0.0016747523535804,0.00120631791923694,0.948,0.00992935043192656
10000,"VI","mu_1",0,500,0.0116353111178231,0.0116353111178231,0.00562510468583586,0.968,0.00787095928079926
10000,"VI","mu_2",5,500,2.43203448552988,-2.56796551447012,0.0938891396253902,0.526,0.022330427671677
10000,"VI","mu_3",10,500,8.39088224433772,-1.60911775566228,0.0909911224056626,0.322,0.0208957411928843
10000,"VI","mu_4",20,500,19.9888111259322,-0.0111888740678212,0.00154290729021426,0.82,0.0171813852759316
